SubjectID,Phase,Trial,StimName,TotalLook,TotalLookAway
T004,PreFam,1,Apple,3546,0
T004,PreFam,2,Ball,1433,0
T004,PreFam,3,Shoe,6040,0
T004,PreFam,4,Dog,6039,0
T004,Habituation,1,Neem_cm_single,6916,0
T004,Habituation,2,Neem_cm_single,2869,0
T004,Habituation,3,Neem_cm_single,6842,0
T004,Habituation,4,Neem_cm_single,3702,0
T004,Habituation,5,Neem_cm_single,8306,0
T004,Habituation,6,Neem_cm_single,6409,0
T004,Habituation,7,Neem_cm_single,6668,0
T004,Habituation,8,Neem_cm_single,9233,0
T004,Habituation,9,Neem_cm_single,7673,0
T004,Habituation,10,Neem_cm_single,2605,0
T004,Habituation,11,Neem_cm_single,3232,0
T004,Habituation,12,Neem_cm_single,2134,0
T004,Habituation,13,Neem_cm_single,3006,0
T004,Habituation,14,Neem_cm_single,4871,0
T004,Habituation,15,Neem_cm_single,6639,0
T004,Habituation,16,Neem_cm_single,1965,0
T004,Habituation,17,Neem_cm_single,6443,0
T004,Habituation,18,Neem_cm_single,7078,0
T004,Habituation,19,Neem_cm_single,11979,0
T004,Habituation,20,Neem_cm_single,4097,0
T004,Habituation,21,Neem_cm_single,1000,0
T004,Habituation,22,Neem_cm_single,2106,0
T004,Habituation,23,Neem_cm_single,1336,0
T004,Test,1,NT_test,1265,0
T004,Test,2,Same_test,2332,0
T004,Test,3,AuditoryControl,2667,0
T004,Test,4,VisualControl,12608,0
T005,PreFam,1,Apple,13336,0
T005,PreFam,2,Ball,13434,0
T005,PreFam,3,Shoe,13593,0
T005,PreFam,4,Dog,6938,0
T005,Habituation,1,Neem_cm_single,13495,0
T005,Habituation,2,Neem_cm_single,13630,0
T005,Habituation,3,Neem_cm_single,7444,0
T005,Habituation,4,Neem_cm_single,5042,0
T005,Habituation,5,Neem_cm_single,3268,0
T005,Habituation,6,Neem_cm_single,11149,0
T005,Habituation,7,Neem_cm_single,5469,0
T005,Habituation,8,Neem_cm_single,4006,0
