SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks,method
T166,PrePre,default (none),1,0,MaxLookAwayTime,No,16,AudioTest,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Cat5Sec.mov,NA,NA,72851879,72861593,4810,0,0,4810,0,72854541,72861593,LookCenter,online
T166,Wait,default (none),1,0,GotLook,No,17,Wait,NA,NA,Color(rgb) #000000,NA,NA,72861595,72938541,2999,0,0,2999,0,72863178,72938541,LookCenter,online
T166,Calibration,default (none),1,0,MaxStimulusTime,No,20,Calibration,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Calibration_Movie.mp4,NA,NA,72938547,72966420,24755,0,0,24755,0,72941418,72966420,LookCenter,online
T166,PreFam,default (none),1,0,MaxStimulusTime,No,22,Apple,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Apple looming.mp4,NA,NA,72966426,72981983,13649,0,0,13649,0,72967982,72981983,LookCenter,online
T166,PreFam,default (none),2,0,MaxStimulusTime,No,23,Ball,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Ball looming.mp4,NA,NA,72981986,72996994,13605,0,0,13605,0,72982992,72996994,LookCenter,online
T166,PreFam,default (none),3,0,MaxLookAwayTime,No,24,Shoe,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Shoe looming.mp4,NA,NA,72996996,73006909,6226,0,0,6226,0,72998371,73006909,LookCenter,online
T166,PreFam,default (none),4,0,MaxStimulusTime,No,25,Dog,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Dog looming.mp4,NA,NA,73006913,73024078,13783,0,0,13783,0,73010076,73024078,LookCenter,online
T166,Habituation,default (none),1,0,MaxLookAwayTime,No,26,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73024083,73033746,6072,0,0,6072,0,73025407,73033746,LookCenter,online
T166,Habituation,default (none),2,0,MaxStimulusTime,No,31,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73033753,73050154,13820,0,0,13820,0,73036146,73050154,LookCenter,online
T166,Habituation,default (none),3,0,MaxLookAwayTime,No,32,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73050155,73059239,5271,0,0,5271,0,73051789,73059239,LookCenter,online
T166,Habituation,default (none),4,0,MaxStimulusTime,No,33,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73059242,73074818,13828,0,0,13828,0,73060816,73074818,LookCenter,online
T166,Habituation,default (none),5,0,MaxLookAwayTime,No,34,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73074822,73088478,9519,0,0,9519,0,73076684,73088478,LookCenter,online
T166,Habituation,default (none),6,0,MaxLookAwayTime,No,35,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73088480,73098761,4750,0,0,4750,0,73091752,73098761,LookCenter,online
T166,Habituation,default (none),7,0,MaxLookAwayTime,No,36,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73098763,73110883,7593,0,0,7593,0,73101012,73110883,LookCenter,online
T166,Habituation,default (none),8,0,MaxLookAwayTime,No,37,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73110885,73122846,7766,0,0,7766,0,73112739,73122846,LookCenter,online
T166,Habituation,default (none),9,0,MaxLookAwayTime,No,38,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73122847,73132767,6277,0,0,6277,0,73124277,73132767,LookCenter,online
T166,Habituation,default (none),10,0,MaxLookAwayTime,No,39,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73132769,73142096,4470,0,0,4470,0,73135331,73142096,LookCenter,online
T166,Habituation,default (none),11,0,MaxLookAwayTime,No,40,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73142097,73150093,4158,0,0,4158,0,73143568,73150093,LookCenter,online
T166,Habituation,default (none),12,0,MaxLookAwayTime,No,41,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73150094,73164850,9837,0,0,9837,0,73152705,73164850,LookCenter,online
T166,Habituation,default (none),13,0,MaxStimulusTime,No,42,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73164852,73181287,13796,0,0,13796,0,73167285,73181287,LookCenter,online
T166,Habituation,default (none),14,0,MaxLookAwayTime,No,43,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73181289,73190375,5302,0,0,5302,0,73182746,73190375,LookCenter,online
T166,Habituation,default (none),15,0,MaxLookAwayTime,No,44,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73190377,73198389,3617,0,0,3617,0,73192454,73198389,LookCenter,online
T166,Habituation,default (none),16,0,MaxLookAwayTime,No,45,Neem_cm_single,NA,NA,/Users/federicabulgarelli/Documents/habit/stim/Novel Object Loom.mp4,NA,NA,73198391,73208669,6167,0,0,6167,0,73200199,73208669,LookCenter,online
