N,Site,Tester,Excluded,reason_Excluded,Vid_or_audio,Age,More_sources,Choice,Correct,Explanation:,Rosie_explanation_code,Sami_explanation_code,Final_explanation_code,explanation_mentioned_number,which_numbers,Comments
1,TheChildLab_online,SS,,,NONE,4.83504449,Blue,Blue,1,because 3 people think so,More,More,More,yes,3,audio did not record
2,TheChildLab_online,SS,Yes,EXPERIMENTER ERROR,audio,4.83504449,Green,Green,1,because they saw it ,More,Other,Other,,,n/a
3,TheChildLab_online,EI,,,audio,4.752908966,Blue,Blue,1,cause there's 3 and that one is 1,More,More,More,yes,"1, 3",n/a
4,TheChildLab_online,MS,,,audio,7.008898015,Blue,Green,0,don't know,N/A,N/A,N/A,,,n/a
5,TheChildLab_online,MS,,,audio,4.344969199,Green,Green,1,n/a,N/A,N/A,N/A,,,n/a
6,TheChildLab_online,MS,Yes,EXPERIMENTER ERROR,audio,5.927446954,Blue,Blue,1,I definitely know because there are more people on that side than that side,More,More,More,,,n/a
7,TheChildLab_online,SS,,,audio,4.851471595,Green,Green,1,because it has 3,More,More,More,yes,3,n/a
8,TheChildLab_online,SS,,,audio,4.271047228,Green,Blue,0,Because Annie said the hamster ran through the blue door,Less,Other,Less,,,n/a
9,TheChildLab_online,MS,,,audio,6.844626968,Blue,Blue,1,Because it has 3 people ,More,More,More,yes,3,n/a
10,TheChildLab_online,MM,,,audio,5.106091718,Green,Green,1,Because more people told the student in the green,More,More,More,,,n/a
11,TheChildLab_online,MM,,,audio,5.35797399,Green,Green,1,Because more people said it ran through that door,More,More,More,,,n/a
12,TheChildLab_online,MM,,,audio,6.439425051,Green,Green,1,Because there's more people that told her,More,More,More,,,n/a
13,TheChildLab_online,MS,,,audio,6.439425051,Blue,Blue,1,because there's more people,More,More,More,,,n/a
14,TheChildLab_online,MM,,,audio,4.27652293,Green,Blue,0,because I saw it; I saw the hamster coming out,Other,Other,Other,,,n/a
15,TheChildLab_online,RA,,,audio,6.943189596,Blue,Blue,1,because more people said that,More,More,More,,,n/a
16,TheChildLab_online,RA,,,audio,7.02532512,Blue,Blue,1,because there's only 1 person on the green and 3 people on the blue,More,More,More,yes,"1, 3",n/a
17,TheChildLab_online,RA,,,audio,6.773442847,Green,Green,1,because the blue door that's where you came and and the green door is where came out,Other,Other,Other,,,n/a
18,TheChildLab_online,ER,,,audio,4.443531828,Blue,Blue,1,n/a,N/A,N/A,N/A,,,n/a
19,TheChildLab_online,MS,,,audio,4.610540726,Green,Blue,0,because of the girl saw it,Other,Other,Other,,,n/a
20,TheChildLab_online,ER,,,audio,4.698151951,Blue,Blue,1,more people,More,More,More,,,n/a
21,TheChildLab_online,ER,,,audio,7.195071869,Blue,Blue,1,because of the more people thought the hamster went to blue than the green,More,More,More,,,n/a
22,TheChildLab_online,ER,,,audio,7.945242984,Green,Green,1,because there is more people,More,More,More,,,n/a
23,TheChildLab_online,MS,,,audio,4.613278576,Blue,Blue,1,not asked,N/A,N/A,N/A,,,"Tester recommended exclusion for parental interference, but blind coder did not exclude"
24,TheChildLab_online,MS,,,audio,7.364818617,Blue,Blue,1,because more people have seen it run through the blue,More,More,More,,,n/a
25,TheChildLab_online,AC,,,audio,5.697467488,Blue,Green,0,I don't know,N/A,N/A,N/A,,,n/a
26,TheChildLab_online,MS,,,audio,7.446954141,Blue,Blue,1,it has 3 people,More,More,More,yes,3,n/a
