N,Site,Tester,Excluded,reason_Excluded,Vid_or_audio,Age,More_sources,Choice,Correct,Explanation,Rosie_explanation_code,Sami_explanation_code,Final_explanation_code,explanation_mentioned_number,which_numbers,Comments
1,TheChildLab_online,MM,,,audio,4.960985626,Blue,Blue,1,Because there's three people,More,More,More,yes,3,n/a
2,TheChildLab_online,AC,,,audio,6.130047912,Blue,Blue,1,Because there's more,More,More,More,,,n/a
3,TheChildLab_online,AC,,,audio,4.213552361,Blue,Green,0,"Unintelligible; experimenter couldn't understand or didn't record the explanation, and the audio recorded very faintly so the answer coder also couldn't make out the explanation",N/A,N/A,N/A,,,n/a
4,TheChildLab_online,AC,,,audio,6.965092402,Blue,Blue,1,Because there's more students that said it was on the blue door,More,More,More,,,n/a
5,TheChildLab_online,AC,,,audio,7.879534565,Green,Green,1,Cause there's more people,More,More,More,,,n/a
6,TheChildLab_online,AC,,,audio,6.795345654,Green,Green,1,Because more people saw it there,More,More,More,,,n/a
7,TheChildLab_online,AC,,,audio,7.148528405,Blue,Blue,1,Because there's more people voting,More,More,More,,,n/a
8,TheChildLab_online,AC,,,audio,7.482546201,Blue,Blue,1,Because they saw it go there...and then the blue side has 3 people,More,More,More,yes,3,n/a
9,TheChildLab_online,AC,,,audio,6.061601643,Green,Blue,0,Because one person said it,Less,Less,Less,yes,1,n/a
10,TheChildLab_online,ER,,,audio,7.414099932,Green,Green,1,All of them saw the hamster go through the green door,More,Other,Other,,,n/a
11,TheChildLab_online,AC,,,audio,5.242984257,Green,Green,1,Because there's more students,More,More,More,,,n/a
12,TheChildLab_online,AC,,,audio,6.075290897,Green,Green,1,Because there's three people left on the green door and one on the blue door,More,More,More,yes,"1, 3",n/a
13,TheChildLab_online,ER,,,audio,6.245037645,Green,Green,1,Because there's more than the blue one,More,More,More,,,n/a
14,TheChildLab_online,EI,,,audio,4.41889117,Green,Green,1,I don't know,N/A,N/A,N/A,,,n/a
15,TheChildLab_online,EI,,,audio,6.666666667,Green,Green,1,Because more people said that,More,More,More,,,n/a
16,TheChildLab_online,EI,,,audio,4.917180014,Green,Blue,0,Because I think it ran through it,Other,Other,Other,,,n/a
17,TheChildLab_online,AC,,,audio,5.67008898,Green,Blue,0,Because I see 2 other blues but not 2 other greens,More,Other,Other,yes,2,n/a
18,TheChildLab_online,AC,,,audio,4.832306639,Blue,Green,0,"I don't know, I don't kow where the hamster ran. I'll just pick green",Other,N/A,N/A,,,n/a
19,TheChildLab_online,MM,,,audio,4.254620123,Green,Blue,0,Because there's less,Less,Less,Less,,,n/a
20,TheChildLab_online,MM,,,audio,7.507186858,Green,Blue,0,maybe the hamster ran through the blue door,Other,Other,Other,,,n/a
21,TheChildLab_online,AC,,,audio,6.672142368,Green,Green,1,n/a,N/A,N/A,N/A,,,n/a
22,TheChildLab_online,MM,,,audio,4.678986995,Blue,Blue,1,Because that might have been the mouse's favorite color,Other,Other,Other,,,n/a
23,TheChildLab_online,MM,,,audio,4.511978097,Green,Green,1,Because he ran out,Other,Other,Other,,,n/a
24,TheChildLab_online,MM,,,audio,4.260095825,Blue,Blue,1,I think blue because it has more people than just 1,More,More,More,yes,1,n/a
25,TheChildLab_online,AC,,,audio,7.433264887,Blue,Blue,1,Cause every student over there said green and one only said blue one,More,More,More,yes,1,n/a
26,TheChildLab_online,ER,,,audio,5.018480493,Green,Blue,0,Because I think the answer is blue,Other,Other,Other,,,n/a
27,TheChildLab_online,AC,,,audio,5.77412731,Green,Blue,0,n/a,N/A,N/A,N/A,,,n/a
28,TheChildLab_online,MS,,,audio,7.197809719,Green,Green,1,Cause more people think he went through the green door,More,More,More,,,n/a
29,TheChildLab_online,ER,,,audio,4.862422998,Blue,Blue,1,Just because,N/A,N/A,N/A,,,n/a
30,TheChildLab_online,MM,,,audio,7.452429843,Blue,Blue,1,Because it has more people,More,More,More,,,n/a
31,TheChildLab_online,ER,Yes,INTERFERENCE,audio,4.114989733,Green,Green,1,n/a,N/A,N/A,N/A,,,child had trouble choosing
32,TheChildLab_online,ER,,,audio,7.868583162,Blue,Green,0,Cause there's one person,Less,Less,Less,yes,1,n/a
33,TheChildLab_online,MM,,,audio,7.805612594,Blue,Blue,1,"Because most people said they saw it go out the blue door, and the green people said only one person saw it go through the green door",More,More,More,yes,1,n/a
34,TheChildLab_online,ER,,,audio,7.863107461,Blue,Green,0,Because they all said she saw it,Less,Other,Less,,,n/a
35,TheChildLab_online,ER,,,audio,5.281314168,Blue,Green,0,Because- I don't know,N/A,N/A,N/A,,,n/a
36,TheChildLab_online,ER,Yes,TECHNICAL DIFFICULTIES,audio,7.457905544,Green,Green,1,Cause 3 people say it and then the other one said only one person,More,More,More,yes,"1, 3","some audio issues right as we started. Participant didn't hear the first two slides. We switched to phone, and then everything went smoothly. Participant first said something about the teacher, hard to hear but something like ""If I was the teacher I would say if there was a little issue with one of the kids, I would pick the one on that one because if there was an issue with this one where they cry  lot..."" After this experimenter re-prompted and child answered"
