"","Code","gender","age_months","age_years","setting","fb1","fb2","tb1","tb2"
"1","07MT","f",38,3,"online",0,0,1,1
"2","10JG","m",38,3,"online",1,0,0,1
"3","11LS","f",37,3,"online",1,1,0,0
"4","12SS","m",37,3,"online",0,0,1,1
"5","13NL","f",39,3,"online",0,0,1,1
"6","14SK","m",49,4,"online",1,1,0,0
"7","15CS","f",45,3,"online",1,1,1,1
"8","16FM","m",43,3,"online",1,1,0,0
"9","17PP","f",36,3,"online",0,0,1,1
"10","21JD","m",51,4,"online",1,1,0,0
"11","22LM","f",39,3,"online",1,0,1,1
"12","23FS","f",53,4,"online",0,0,1,0
"13","24FB","m",37,3,"online",1,1,0,1
"14","25YW","m",52,4,"online",0,0,1,0
"15","26GL","m",48,4,"online",0,0,1,1
"16","27VS","f",47,3,"online",0,0,1,1
"17","28AS","m",42,3,"online",1,0,1,0
"18","30MG","f",43,3,"online",1,1,0,0
"19","31HS","m",46,3,"online",1,1,1,0
"20","32MP","f",45,3,"online",1,1,0,0
"21","33AW","m",50,4,"online",1,1,0,0
"22","34TS","m",50,4,"online",1,1,1,1
"23","35TB","m",42,3,"online",0,0,1,1
"24","29MQ","f",36,3,"online",0,0,1,1
"25","36TW","f",36,3,"online",0,0,1,1
"26","37MW","f",42,3,"online",1,1,0,0
"27","38LW","m",45,3,"online",0,0,1,1
"28","39BH","m",40,3,"online",0,0,1,1
"29","40OH","m",43,3,"online",0,0,1,0
"30","41SB","f",48,4,"online",0,0,1,1
"31","42CB","f",48,4,"online",1,0,1,1
"32","43JK","m",43,3,"online",1,1,1,1
"33","44LR","f",52,4,"online",1,1,0,0
"34","45TP","m",52,4,"online",1,1,1,0
"35","46EH","f",36,3,"online",1,1,0,0
"36","47IH","f",38,3,"online",1,0,1,1
"37","48VP","m",49,4,"online",1,1,0,0
"38","49JZ","m",42,3,"online",1,1,0,0
"39","50TB","m",42,3,"online",0,0,1,1
"40","51ES","m",53,4,"online",0,1,0,0
"41","52FE","m",43,3,"online",0,0,1,1
"42","53TK","f",37,3,"online",0,0,1,1
"43","54RK","m",42,3,"online",0,0,0,1
"44","55TH","m",52,4,"online",0,0,1,1
"45","56MM","m",43,3,"online",0,0,1,1
"46","57TB","f",36,3,"online",0,0,0,0
"47","58EK","f",51,4,"online",1,1,0,0
"48","59LK","f",37,3,"online",0,0,1,1
"49","60LR","f",38,3,"online",1,0,1,1
"50","25_MS_IP6","m",37,3,"in_person",1,1,1,1
"51","26_DK_IP6","m",37,3,"in_person",1,0,1,1
"52","34_ALK_IP6","f",38,3,"in_person",1,1,0,0
"53","27_PL_IP6","f",38,3,"in_person",0,0,1,1
"54","01_ES","f",39,3,"in_person",0,0,1,1
"55","35_MM_IP6","m",39,3,"in_person",0,0,1,1
"56","HBS_IP6","m",41,3,"in_person",0,0,0,1
"57","24_TG_IP6","m",41,3,"in_person",1,1,0,0
"58","1205_AA_IP6","f",42,3.5,"in_person",0,0,1,0
"59","0707_HJ_IP6","m",43,3.5,"in_person",1,1,0,0
"60","1506_NLM_IP6","f",43,3.5,"in_person",0,0,1,1
"61","25_JSK_IP5","m",43,3.5,"in_person",1,1,0,0
"62","44_LS_IP5 (a+b)","f",43,3.5,"in_person",0,0,1,1
"63","2205_LP_IP6","m",44,3.5,"in_person",0,0,1,1
"64","20_HD_IP5","f",45,3.5,"in_person",0,0,1,1
"65","26_SC_IP5","m",45,3.5,"in_person",0,0,1,1
"66","48_MA_IP5 (a+b)","f",45,3.5,"in_person",0,0,1,0
"67","1506_DC_IP6","m",46,3.5,"in_person",1,1,0,0
"68","43_EB_IP5 (a+b)","f",46,3.5,"in_person",1,1,0,0
"69","50_MB_IP5 (a+b)","f",46,3.5,"in_person",0,1,1,1
"70","2804_FT_IP6","m",48,4,"in_person",1,0,1,1
"71","37_SCU_IP5","f",48,4,"in_person",0,0,1,1
"72","38_TM_IP5","f",49,4,"in_person",1,1,0,0
"73","0505_JS_IP6","f",51,4,"in_person",1,1,0,0
"74","30_FR_IP5","m",52,4,"in_person",1,1,0,0
"75","21_MMS_IP5","f",53,4,"in_person",1,1,0,0
"76","47_IWI_IP5 (a+b)","f",53,4,"in_person",1,1,0,0
