Loc,snum,gender,Age,Months,Cond,BT,OT,Sheep,Motorcycle,GNG
in-person,1,Male,4,54,A,B,M,B,M,1
in-person,2,Female,4,49,B,B,M,E,B,1
in-person,3,Male,4,52,C,E,B,B,M,1
in-person,4,Male,4,57,D,B,E,B,M,1
in-person,5,Female,4,49,A,B,B,B,M,1
in-person,6,Female,4,54,B,M,M,M,M,1
in-person,7,Male,4,54,C,E,M,B,M,1
in-person,8,Male,4,57,D,M,M,E,M,1
in-person,9,Female,4,59,A,M,B,B,M,1
in-person,10,Male,4,58,B,B,M,E,M,1
in-person,11,Male,4,51,C,B,B,B,M,1
in-person,12,Female,4,49,D,M,B,B,B,1
in-person,13,Female,4,49,A,B,B,B,B,1
in-person,14,Male,4,57,B,M,B,M,M,1
in-person,15,Female,4,58,C,E,E,E,E,1
in-person,16,Male,4,59,D,M,B,B,M,1
in-person,17,Female,4,50,A,M,B,B,B,1
in-person,18,Female,4,54,B,B,E,E,M,1
in-person,19,Male,4,57,C,M,B,M,M,1
in-person,20,Female,4,58,D,B,M,M,B,1
in-person,21,Male,4,51,A,M,B,B,M,1
in-person,22,Female,4,53,B,B,M,B,B,1
in-person,23,Male,4,59,C,B,M,E,M,1
in-person,24,Male,4,59,D,M,E,E,B,1
in-person,25,Male,4,59,A,B,B,B,M,1
in-person,26,Male,4,54,B,E,B,M,M,1
in-person,27,Male,4,58,C,M,E,M,B,1
in-person,28,Male,4,59,D,B,B,M,B,1
in-person,29,Male,4,54,A,M,B,M,B,1
in-person,30,Male,4,58,B,E,M,B,M,1
in-person,31,Male,4,58,C,B,M,E,M,1
in-person,32,0,4,59,D,M,B,M,M,1
in-person,33,Female,4,57,A,B,M,B,M,1
in-person,34,Female,4,58,B,B,M,B,M,1
in-person,35,Female,4,54,C,M,B,B,M,1
in-person,36,Male,4,59,D,B,E,B,M,1
in-person,37,Male,4,53,A,B,M,B,M,1
in-person,38,Male,4,53,B,E,B,B,M,1
in-person,39,Female,4,54,C,E,B,E,M,1
in-person,40,Male,4,54,D,M,E,B,B,1
in-person,41,Female,5,60,A,M,B,M,E,1
in-person,42,Male,5,60,B,M,M,B,M,1
in-person,43,Male,4,52,C,M,B,E,M,1
in-person,44,Female,4,49,D,M,M,M,E,1
in-person,45,Female,5,62,A,M,B,B,M,1
in-person,46,Male,5,61,B,E,B,B,M,1
in-person,47,Female,4,50,C,M,E,M,B,1
in-person,48,Male,4,48,D,M,B,M,M,1
in-person,49,Male,4,53,A,B,B,M,M,1
in-person,50,Female,4,58,B,E,E,E,M,1
in-person,51,Female,4,52,C,,,,,0
in-person,52,Male,4,58,D,E,E,E,E,1
in-person,53,Male,4,59,A,M,B,B,M,1
in-person,54,Female,4,48,B,M,B,B,B,1
in-person,55,Female,4,48,C,E,E,B,M,1
in-person,56,Male,5,62,D,M,M,E,B,1
in-person,57,Female,5,63,A,B,M,B,M,1
in-person,58,Male,4,48,B,M,B,B,M,1
in-person,59,Male,5,63,C,M,M,B,M,1
in-person,60,Male,4,59,D,E,M,B,M,1
in-person,61,Female,4,54,A,M,B,B,M,1
in-person,62,Female,4,58,B,M,B,B,M,1
in-person,51,Male,4,52,C,M,B,E,B,1
Online,63,Male,4,57,C,E,E,E,E,1
Online,64,Female,4,56,D,M,E,E,M,1
Online,65,Female,4,51,A,E,M,E,M,1
Online,66,Female,4,55,B,M,B,B,M,1
Online,67,Male,4,53,C,M,M,B,M,1
Online,68,Female,4,58,D,B,M,B,M,1
Online,69,Male,4,55,A,M,B,E,M,1
Online,70,Male,4,54,B,M,M,B,M,1
Online,71,0,4,55,C,E,E,E,E,1
Online,72,Female,4,58,D,E,E,M,M,1
Online,73,Female,4,57,A,E,E,M,M,1
Online,74,Female,4,50,B,M,M,M,M,1
Online,75,Male,4,49,C,E,E,E,E,1
Online,76,Female,4,51,D,E,E,E,E,1
Online,77,Male,4,55,A,E,M,B,M,1
Online,78,Female,4,58,B,B,B,B,B,1
Online,79,Female,4,53,C,E,B,M,M,1
Online,80,Male,4,52,D,M,M,B,E,1
Online,81,Female,4,58,A,E,M,B,M,1
Online,82,Female,4,58,B,M,E,E,E,1
Online,83,Male,4,53,C,M,B,M,M,1
Online,84,Male,4,49,D,M,E,M,M,1
Online,85,Male,4,48,A,E,M,M,M,1
Online,86,Male,4,49,B,E,M,M,M,1
Online,87,Male,4,56,C,E,M,E,M,1
Online,88,Male,4,49,D,B,E,B,M,1
Online,89,Male,4,51,A,E,E,B,M,1
Online,90,Female,4,56,B,E,M,M,M,1
Online,91,Male,4,54,C,M,E,E,M,1
Online,92,Female,4,58,D,E,M,B,M,1
