sub.num,experiment,block.order,test.order,block.type,trial.type,looking
84,younger,failed.first,sad.first,failed,happy,1.0953862897968327
84,younger,failed.first,sad.first,failed,sad,1.2085120928179425
84,younger,failed.first,sad.first,complete,happy,0.5879084597494418
84,younger,failed.first,sad.first,complete,sad,0.8046330828747392
85,younger,failed.first,happy.first,failed,happy,1.1806365281066373
85,younger,failed.first,happy.first,failed,sad,0.8908596780735074
85,younger,failed.first,happy.first,complete,happy,0.8500599484884306
85,younger,failed.first,happy.first,complete,sad,0.9658643169445749
86,younger,failed.first,sad.first,failed,happy,0.8736436041157397
86,younger,failed.first,sad.first,failed,sad,1.0659124181610589
86,younger,failed.first,sad.first,complete,happy,0.7291294934566547
86,younger,failed.first,sad.first,complete,sad,0.6701599511908325
87,younger,failed.first,happy.first,failed,happy,1.0298196540824764
87,younger,failed.first,happy.first,failed,sad,0.9564814289533223
87,younger,failed.first,happy.first,complete,happy,0.7552331672900116
87,younger,failed.first,happy.first,complete,sad,1.0331422878104304
88,younger,failed.first,sad.first,failed,happy,1.2353505115071393
88,younger,failed.first,sad.first,failed,sad,1.3108253315408658
88,younger,failed.first,sad.first,complete,happy,0.6727399865225209
88,younger,failed.first,sad.first,complete,sad,0.945282487284131
89,younger,failed.first,happy.first,failed,happy,0.7205207115401222
89,younger,failed.first,happy.first,failed,sad,0.7927203038390405
89,younger,failed.first,happy.first,complete,happy,0.7511951231009025
89,younger,failed.first,happy.first,complete,sad,1.065171412978528
90,younger,failed.first,happy.first,failed,happy,0.9841971706680186
90,younger,failed.first,happy.first,failed,sad,1.0071354582975223
90,younger,failed.first,happy.first,complete,happy,0.7453425022244674
90,younger,failed.first,happy.first,complete,sad,0.5578390222998861
91,younger,failed.first,sad.first,failed,happy,0.9678050681056591
91,younger,failed.first,sad.first,failed,sad,1.186636971738567
91,younger,failed.first,sad.first,complete,happy,0.7719977323529406
91,younger,failed.first,sad.first,complete,sad,1.2940865574211327
92,younger,failed.first,happy.first,failed,happy,0.7759936038308466
92,younger,failed.first,happy.first,failed,sad,1.0495448534978844
92,younger,failed.first,happy.first,complete,happy,0.7151173853425679
92,younger,failed.first,happy.first,complete,sad,0.7403843496253111
93,younger,failed.first,sad.first,failed,happy,0.8815003860155015
93,younger,failed.first,sad.first,failed,sad,1.3793070491119321
93,younger,failed.first,sad.first,complete,happy,0.32908713028705416
93,younger,failed.first,sad.first,complete,sad,0.7805901773273597
94,younger,failed.first,happy.first,failed,happy,1.1193484293486982
94,younger,failed.first,happy.first,failed,sad,0.6698730400061497
94,younger,failed.first,happy.first,complete,happy,0.7115142144765934
94,younger,failed.first,happy.first,complete,sad,0.7042163884620479
96,younger,failed.first,happy.first,failed,happy,0.8481107499941059
96,younger,failed.first,happy.first,failed,sad,0.614834032239391
96,younger,failed.first,happy.first,complete,happy,0.4071712129811016
96,younger,failed.first,happy.first,complete,sad,0.8259422415982142
98,younger,failed.first,sad.first,failed,happy,0.9375599247242865
98,younger,failed.first,sad.first,failed,sad,0.7849058102191382
98,younger,failed.first,sad.first,complete,happy,0.7037342405423617
98,younger,failed.first,sad.first,complete,sad,1.0841146434411146
99,younger,failed.first,sad.first,failed,happy,1.2455395726665284
99,younger,failed.first,sad.first,failed,sad,1.0073706834125682
99,younger,failed.first,sad.first,complete,happy,0.7291613495520322
99,younger,failed.first,sad.first,complete,sad,0.7706352697411247
100,younger,failed.first,happy.first,failed,happy,1.119378706253518
100,younger,failed.first,happy.first,failed,sad,0.9556597567609251
100,younger,failed.first,happy.first,complete,happy,0.9364635589133585
100,younger,failed.first,happy.first,complete,sad,0.698972848242612
101,younger,failed.first,sad.first,failed,happy,0.8177940406618613
101,younger,failed.first,sad.first,failed,sad,1.2641839703966173
101,younger,failed.first,sad.first,complete,happy,0.7748137782158052
101,younger,failed.first,sad.first,complete,sad,0.8836896937760986
102,younger,failed.first,happy.first,failed,happy,0.8502266664934015
102,younger,failed.first,happy.first,failed,sad,0.8414911004699126
102,younger,failed.first,happy.first,complete,happy,0.6688568949179263
102,younger,failed.first,happy.first,complete,sad,0.8445124280121947
104,younger,failed.first,sad.first,failed,happy,0.7831260340940221
104,younger,failed.first,sad.first,failed,sad,0.9572320985550465
104,younger,failed.first,sad.first,complete,happy,0.5694241986913449
104,younger,failed.first,sad.first,complete,sad,0.9730070107451521
105,younger,failed.first,happy.first,failed,happy,0.4313325074150379
105,younger,failed.first,happy.first,failed,sad,0.6060958773349321
105,younger,failed.first,happy.first,complete,happy,0.49659089065427625
105,younger,failed.first,happy.first,complete,sad,0.8364387591907596
106,younger,failed.first,sad.first,failed,happy,0.47610810402784376
106,younger,failed.first,sad.first,failed,sad,1.0765222703721555
106,younger,failed.first,sad.first,complete,happy,0.7345233182404938
106,younger,failed.first,sad.first,complete,sad,0.6634740667416167
107,younger,failed.first,happy.first,failed,happy,0.7880705244974652
107,younger,failed.first,happy.first,failed,sad,0.567016125265594
107,younger,failed.first,happy.first,complete,happy,0.32590089046367776
107,younger,failed.first,happy.first,complete,sad,0.7637368694776202
108,younger,failed.first,happy.first,failed,happy,0.7492466555385604
108,younger,failed.first,happy.first,failed,sad,1.0373580303673768
108,younger,failed.first,happy.first,complete,happy,0.617567296066572
108,younger,failed.first,happy.first,complete,sad,0.8831679144559191
109,younger,failed.first,sad.first,failed,happy,0.8268051817886104
109,younger,failed.first,sad.first,failed,sad,0.7852572693916327
109,younger,failed.first,sad.first,complete,happy,0.8652227644544327
109,younger,failed.first,sad.first,complete,sad,0.8845767882221651
110,younger,failed.first,happy.first,failed,happy,0.23488121531602535
110,younger,failed.first,happy.first,failed,sad,0.6229653917500106
110,younger,failed.first,happy.first,complete,happy,0.6109742937286278
110,younger,failed.first,happy.first,complete,sad,0.8145341672939268
111,younger,failed.first,sad.first,failed,happy,0.6229653917500106
111,younger,failed.first,sad.first,failed,sad,0.23488121531602535
111,younger,failed.first,sad.first,complete,happy,0.8145341672939268
111,younger,failed.first,sad.first,complete,sad,0.6109742937286278
112,younger,failed.first,sad.first,failed,happy,0.742677297838817
112,younger,failed.first,sad.first,failed,sad,0.8751842412490501
112,younger,failed.first,sad.first,complete,happy,0.5534474808991376
112,younger,failed.first,sad.first,complete,sad,0.9193892756138999
113,younger,failed.first,happy.first,failed,happy,0.4888812635353087
113,younger,failed.first,happy.first,failed,sad,0.6716351501060993
113,younger,failed.first,happy.first,complete,happy,0.8043194349620859
113,younger,failed.first,happy.first,complete,sad,0.8413412699850298
114,younger,failed.first,sad.first,failed,happy,1.0383218662032028
114,younger,failed.first,sad.first,failed,sad,0.79280125064445
114,younger,failed.first,sad.first,complete,happy,0.9569889134850991
114,younger,failed.first,sad.first,complete,sad,1.017488693272491
115,younger,failed.first,happy.first,failed,happy,0.6520932446750407
115,younger,failed.first,happy.first,failed,sad,0.955961106381215
115,younger,failed.first,happy.first,complete,happy,0.04585952987154185
115,younger,failed.first,happy.first,complete,sad,0.9245507170146188
116,younger,failed.first,sad.first,failed,happy,1.1504113799697273
116,younger,failed.first,sad.first,failed,sad,1.0654461481710704
116,younger,failed.first,sad.first,complete,happy,0.8248603067626761
116,younger,failed.first,sad.first,complete,sad,0.9555963205487757
1,older,complete.first,happy.first,complete,happy,0.7550359858747693
1,older,complete.first,happy.first,complete,sad,0.9711970647501277
1,older,complete.first,happy.first,failed,happy,0.8888013230841485
1,older,complete.first,happy.first,failed,sad,0.7507883349141757
2,older,failed.first,happy.first,failed,happy,0.7734779650570398
2,older,failed.first,happy.first,failed,sad,0.8659502781042585
2,older,failed.first,happy.first,complete,happy,0.7763695486101576
2,older,failed.first,happy.first,complete,sad,0.8511590440144217
5,older,complete.first,sad.first,complete,happy,0.8730099161790508
5,older,complete.first,sad.first,complete,sad,1.1316002481871084
5,older,complete.first,sad.first,failed,happy,0.874473156612176
5,older,complete.first,sad.first,failed,sad,0.833049823979777
6,older,failed.first,sad.first,failed,happy,1.2016810612464397
6,older,failed.first,sad.first,failed,sad,1.096276818092127
6,older,failed.first,sad.first,complete,happy,0.8854684076044712
6,older,failed.first,sad.first,complete,sad,1.0344408798874016
7,older,complete.first,happy.first,complete,happy,1.2055000329836776
7,older,complete.first,happy.first,complete,sad,0.8328596793975993
7,older,complete.first,happy.first,failed,happy,0.415006614817787
7,older,complete.first,happy.first,failed,sad,0.4600762241803105
8,older,failed.first,happy.first,failed,happy,1.0015772922301427
8,older,failed.first,happy.first,failed,sad,1.2767233560784574
8,older,failed.first,happy.first,complete,happy,0.9002943374200969
8,older,failed.first,happy.first,complete,sad,0.8398723572845617
